f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f_sideSquare,teacher,current_eval,game_idx,move_idx
1,0,2,37,0,1,0,1,7,1,0,5,7,246715.700,227814,0,9700
1,1,0,46,0,10,0,3,8,3,0,7,2,294302.100,285791,0,9750
3,4,4,51,0,8,1,1,11,2,3,5,9,342796.350,346176,0,9800
2,4,2,52,0,13,1,3,10,3,3,7,4,351081.950,349073,0,9850
2,5,6,42,0,18,0,4,16,5,0,23,8,380997.050,414965,0,9900
3,1,1,42,0,8,0,3,4,3,0,10,5,298985.850,280014,0,9950
4,0,1,43,0,9,0,3,11,1,0,9,13,326921.750,306556,0,10000
4,3,6,46,0,14,0,3,16,5,0,9,22,385546.400,407927,0,10050
3,1,5,45,0,16,1,3,7,5,1,16,8,355798.850,379157,0,10100
3,1,2,39,0,5,1,3,7,4,1,13,15,304737.050,304935,0,10150
1,1,2,40,0,6,1,3,4,1,1,9,4,284623.200,259580,0,10200
3,2,3,45,0,13,0,3,9,1,0,11,11,330194.550,337468,0,10250
2,1,4,42,0,6,1,1,12,1,2,6,10,284174.200,299716,0,10300
1,0,2,40,0,5,0,2,4,3,0,10,2,279002.800,259511,0,10350
4,0,1,45,0,11,0,2,13,1,0,3,10,299969.050,299028,0,10400
3,0,2,45,0,3,1,1,5,1,2,4,4,280138.050,262259,0,10450
3,3,4,46,0,10,1,3,16,3,1,15,7,370945.200,366270,0,10500
0,1,6,36,0,8,1,4,18,1,3,21,0,305227.700,329702,0,10550
3,2,5,47,0,18,1,2,15,2,2,7,13,360605.350,381057,1,50
3,2,2,48,0,13,0,2,16,3,0,3,14,338352.000,344038,1,100
0,0,2,43,0,7,1,3,7,3,1,10,0,287631.600,280880,1,150
3,2,1,40,0,5,0,1,8,1,0,5,15,283859.950,266824,1,200
1,1,2,50,0,17,1,3,14,4,3,12,1,370065.700,367728,1,250
3,2,1,46,0,13,1,2,16,3,2,4,12,316534.700,331083,1,300
4,7,5,57,0,23,1,3,13,6,6,8,11,452979.300,459255,1,350
4,0,3,49,0,24,1,3,13,2,2,7,12,389593.000,388533,1,400
3,1,2,40,0,4,0,2,10,1,0,10,8,301064.200,275970,1,450
4,5,4,49,0,21,0,3,13,4,0,12,7,398419.750,398387,1,500
2,1,6,51,0,17,1,4,9,4,1,14,3,404511.050,398644,1,550
2,1,2,39,0,3,1,2,7,2,1,10,5,280749.200,261366,1,600
2,2,4,46,0,13,0,4,14,3,0,13,6,348778.450,359794,1,650
4,2,4,50,0,9,1,3,14,5,1,5,13,358310.050,366789,1,700
2,1,0,46,0,11,0,3,12,4,0,5,10,330886.350,310170,1,750
2,4,2,44,0,9,0,1,10,1,0,3,9,305779.200,286932,1,800
4,1,5,53,0,11,1,2,13,2,6,2,10,355182.850,371477,1,850
4,4,10,42,0,12,1,2,12,4,3,15,20,367000.400,419510,1,900
2,0,0,45,0,6,1,2,7,0,2,5,3,278852.600,257957,1,950
2,0,5,52,0,17,0,4,6,7,0,13,3,344953.850,395982,1,1000
2,1,4,39,0,8,1,3,11,1,1,15,7,300856.850,311732,1,1050
2,1,1,42,0,10,0,4,10,3,0,14,2,309374.750,301818,1,1100
2,1,2,47,0,3,1,1,9,2,3,2,6,292331.250,280288,1,1150
2,2,4,51,0,18,0,4,7,6,0,12,7,389738.400,392028,1,1200
3,2,1,44,0,3,1,1,8,1,1,3,8,265094.050,260971,1,1250
3,0,1,48,0,13,0,3,8,3,0,4,6,311173.300,310217,1,1300
4,5,7,52,0,11,1,1,14,2,5,3,17,382350.550,398531,1,1350
4,1,1,42,0,6,0,2,6,1,0,9,11,297122.150,280847,1,1400
2,3,5,41,0,8,1,4,13,3,2,17,10,362851.450,353193,1,1450
2,0,1,42,0,8,1,3,6,0,1,5,5,280749.500,258002,1,1500
3,0,6,42,0,7,0,2,6,3,0,10,7,323780.900,316169,1,1550
4,1,7,45,0,11,1,3,7,4,3,12,17,363755.750,385830,1,1600
2,2,0,53,0,11,1,2,9,3,3,3,4,330571.050,319113,1,1650
4,1,1,40,0,2,0,1,4,1,0,6,8,256546.000,241626,1,1700
4,1,9,54,0,22,0,2,16,5,0,5,21,454409.800,468243,1,1750
2,2,1,44,0,10,1,3,10,2,1,5,7,293327.950,291156,1,1800
3,0,2,46,0,14,0,3,14,2,0,9,9,346434.400,339127,1,1850
4,1,1,44,0,8,0,2,10,3,0,7,14,312279.350,308819,1,1900
2,0,3,43,0,7,0,2,9,1,0,5,6,286489.800,280862,1,1950
2,0,2,35,0,3,0,2,9,1,0,16,6,280227.950,261799,1,2000
3,1,3,45,0,7,1,3,9,2,3,9,9,312254.350,319231,1,2050
2,4,3,50,0,11,1,3,14,5,6,6,8,356071.800,365013,1,2100
2,0,1,41,0,0,1,0,5,0,1,0,6,242786.250,214397,1,2150
2,1,3,49,0,16,1,3,11,3,2,10,7,361108.950,364056,1,2200
2,3,2,52,0,13,1,3,6,4,1,10,6,347647.000,354818,1,2250
1,4,1,52,0,23,1,4,16,3,2,13,3,362579.450,394184,1,2300
3,1,4,49,0,13,1,3,9,0,2,8,6,335017.850,342115,1,2350
2,1,4,45,0,10,1,2,11,3,1,8,10,331683.350,334157,1,2400
2,4,6,51,0,13,1,3,11,1,5,8,3,352312.700,370068,1,2450
2,1,5,42,0,12,1,3,14,3,2,15,5,361705.450,351989,1,2500
1,0,1,45,0,6,1,3,9,2,2,9,2,305002.250,284639,1,2550
3,2,3,45,0,6,1,2,11,2,2,5,13,301798.200,313859,1,2600
1,0,4,41,0,7,1,3,13,3,6,15,2,330116.800,324444,1,2650
1,0,3,45,0,6,1,3,7,4,2,7,4,307514.350,298805,1,2700
2,5,4,46,0,14,1,3,14,3,4,16,10,387619.200,386956,1,2750
3,0,6,48,0,13,0,1,12,3,0,5,7,341483.750,353272,1,2800
1,0,3,47,0,11,0,4,3,5,0,10,5,329531.000,326003,1,2850
4,0,4,52,0,14,0,3,12,8,0,8,12,333970.900,399962,1,2900
3,2,4,45,0,8,0,3,7,4,0,13,7,340787.100,335423,1,2950
2,1,1,43,0,7,1,3,5,0,3,10,3,277582.300,273084,1,3000
2,0,1,42,0,0,1,0,6,0,1,0,7,251221.950,222623,1,3050
2,2,2,49,0,9,1,2,5,1,4,4,6,317043.900,303861,1,3100
2,0,5,49,0,17,1,4,11,3,4,14,4,381078.200,389667,1,3150
2,1,6,38,0,5,1,3,8,0,1,15,5,295321.550,299653,1,3200
3,2,3,45,0,18,0,2,13,2,0,10,10,365507.100,355308,1,3250
2,1,6,37,0,5,0,2,13,2,0,13,11,318543.000,314002,1,3300
1,0,1,49,0,8,1,2,11,2,4,3,2,305112.300,295225,1,3350
2,0,3,49,0,18,0,3,5,2,0,6,7,341642.450,339134,1,3400
3,1,1,47,0,14,0,3,11,3,0,4,10,314659.500,322284,1,3450
2,3,4,34,0,6,0,4,10,3,0,20,10,331628.300,310628,1,3500
2,1,6,41,0,9,1,3,9,4,2,14,13,330885.450,353523,1,3550
2,0,4,37,0,7,1,3,13,1,1,13,10,306610.900,303061,1,3600
2,4,4,43,0,13,1,4,13,5,2,19,8,373674.050,378308,1,3650
1,1,3,42,0,3,1,2,10,2,3,11,3,282290.350,287507,1,3700
4,1,8,50,0,12,1,1,12,3,4,2,21,376654.150,399900,1,3750
4,1,2,46,0,8,0,2,6,3,0,8,7,310075.550,306222,1,3800
3,0,0,51,0,9,1,2,11,5,1,5,9,338829.100,328437,1,3850
0,1,2,40,0,7,1,3,8,0,1,10,0,273300.500,259672,1,3900
3,1,9,44,0,11,0,2,12,6,0,12,15,384577.150,398821,1,3950
3,2,4,51,0,8,1,2,5,4,1,9,5,338644.600,343206,1,4000
2,0,3,45,0,13,1,2,11,1,8,4,4,315276.350,315297,1,4050
0,0,4,43,0,6,1,2,13,2,8,6,0,291352.800,296638,1,4100
4,3,10,48,0,16,1,3,14,3,6,19,10,442858.650,454509,1,4150
2,0,2,40,0,10,0,2,10,4,0,10,8,307850.850,300236,1,4200
